d90e5bc9f95dc7eb,  Wed Jun 08:11:34  33.037054982811355 -97.28435415309437 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 11.679701342426645
d90e5bc9f95dc7eb,  Wed Jun 08:11:39  33.03674652969096 -97.28443021432165 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 11.679701342426645
d90e5bc9f95dc7eb,  Wed Jun 08:11:44  33.03643807657056 -97.28450627528262 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 11.679701342426645
d90e5bc9f95dc7eb,  Wed Jun 08:11:49  33.036128136877444 -97.28457148903402 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 6.88950838183378
d90e5bc9f95dc7eb,  Wed Jun 08:11:54  33.03581544314761 -97.28456691568945 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -6.908070178263015
d90e5bc9f95dc7eb,  Wed Jun 08:11:59  33.035502754933304 -97.28452172577828 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -6.908070178263015
d90e5bc9f95dc7eb,  Wed Jun 08:12:04  33.03519007533964 -97.2845127724628 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 6.94058861422937
d90e5bc9f95dc7eb,  Wed Jun 08:12:09  33.03487740867695 -97.28455817373565 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 6.94058861422937
d90e5bc9f95dc7eb,  Wed Jun 08:12:14  33.03459593665215 -97.28443375659049 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -31.65883867560831
d90e5bc9f95dc7eb,  Wed Jun 08:12:19  33.034311472543706 -97.28427948639157 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -17.238890644434473
d90e5bc9f95dc7eb,  Wed Jun 08:12:24  33.03401064722108 -97.28416814234106 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -17.238890644434473
d90e5bc9f95dc7eb,  Wed Jun 08:12:29  33.03373914425288 -97.28397869626714 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -31.009328030154375
d90e5bc9f95dc7eb,  Wed Jun 08:12:34  33.033470199346525 -97.28378336487144 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -37.56635388029034
d90e5bc9f95dc7eb,  Wed Jun 08:12:39  33.033220535260924 -97.28355430422104 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -37.56635388029034
d90e5bc9f95dc7eb,  Wed Jun 08:12:44  33.03300304481682 -97.28329011975669 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -57.50126302667662
d90e5bc9f95dc7eb,  Wed Jun 08:12:49  33.03283381483497 -97.28297324921861 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -57.50126302667662
d90e5bc9f95dc7eb,  Wed Jun 08:12:54  33.032698906224724 -97.28264461462682 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -90.43237192646566
d90e5bc9f95dc7eb,  Wed Jun 08:12:59  33.03270128310088 -97.28226892162324 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -90.43237192646566
d90e5bc9f95dc7eb,  Wed Jun 08:13:04  33.03270365997703 -97.28189322860953 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -98.87520044700659
d90e5bc9f95dc7eb,  Wed Jun 08:13:09  33.03275225515547 -97.28152202319518 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -98.87520044700659
d90e5bc9f95dc7eb,  Wed Jun 08:13:14  33.03282043566358 -97.28116014808258 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , -124.66799849411609
